photo_log_row,context_id,context_source,photo_raw,photo_ids,photo_count,TU_col_D,Level_col_E
28,TU3-L1,TU_Level,EPAS2021 59-EPAS2021 60,EPAS2021 59; EPAS2021 60,2,3,1
29,TU3-L1,TU_Level,EPAS2021 61-EPAS2021 62,EPAS2021 61; EPAS2021 62,2,3,1
30,TU2-L1,TU_Level,EPAS2021 63-EPAS2021 65,EPAS2021 63; EPAS2021 64; EPAS2021 65,3,2,1
31,TU5-L1,TU_Level,EPAS2021 66-EPAS2021 68,EPAS2021 66; EPAS2021 67; EPAS2021 68,3,5,1
32,TU9-L1,TU_Level,EPAS2021 69-EPAS2021 73,EPAS2021 69; EPAS2021 70; EPAS2021 71; EPAS2021 72; EPAS2021 73,5,9,1
33,TU2-L1,TU_Level,EPAS2021 74-EPAS2021 76,EPAS2021 74; EPAS2021 75; EPAS2021 76,3,2,1
34,TU1-L3,TU_Level,EPAS2021 77-EPAS2021 78,EPAS2021 77; EPAS2021 78,2,1,3
35,TU1-L2,TU_Level,EPAS2021 79-EPAS2021 80,EPAS2021 79; EPAS2021 80,2,1,2
36,TU1-L2,TU_Level,EPAS2021 81-EPAS2021 82,EPAS2021 81; EPAS2021 82,2,1,2
37,STP8,STP_from_TU_column,EPAS2021 83,EPAS2021 83,1,STP 8,STP 8
38,TUCABIN 4-LROW 3,TU_Level,EPAS2021 84-EPAS2021 85,EPAS2021 84; EPAS2021 85,2,CABIN 4,ROW 3
39,TUCABIN 4-LROW 4,TU_Level,EPAS2021 86,EPAS2021 86,1,CABIN 4,ROW 4
40,TUCABIN 4-LROW 8,TU_Level,EPAS2021 87,EPAS2021 87,1,CABIN 4,ROW 8
41,TUB/W CABIN 4&5-LROW 6,TU_Level,EPAS2021 88,EPAS2021 88,1,B/W CABIN 4&5,ROW 6
42,TUB/W CABIN 4&5-LROW 4,TU_Level,EPAS2021 89,EPAS2021 89,1,B/W CABIN 4&5,ROW 4
43,TUB/W CABIN 4&5-LROW 4,TU_Level,EPAS2021 90,EPAS2021 90,1,B/W CABIN 4&5,ROW 4
44,TUB/W CABIN 4&5-LROW 4,TU_Level,EPAS2021 91,EPAS2021 91,1,B/W CABIN 4&5,ROW 4
45,TUB/W CABIN 4&5-LROW 1,TU_Level,EPAS2021 92-EPAS2021 93,EPAS2021 92; EPAS2021 93,2,B/W CABIN 4&5,ROW 1
46,TUB/W CABIN 4&5-LROW 1,TU_Level,EPAS2021 94-EPAS2021 95,EPAS2021 94; EPAS2021 95,2,B/W CABIN 4&5,ROW 1
47,TUB/W CABIN 4&5-LROW 1,TU_Level,EPAS2021 96,EPAS2021 96,1,B/W CABIN 4&5,ROW 1
48,TUB/W CABIN 4&5-LROW 1,TU_Level,EPAS2021 97-EPAS2021 99,EPAS2021 97; EPAS2021 98; EPAS2021 99,3,B/W CABIN 4&5,ROW 1
